completed_work.PROGRAM_KEY,WORKCENTER,completed_work.WEEK_ENDING,PLANT_KEY,SumOfTOTAL_PLANNED_HRS,SITE_CD,SumOfTOTAL_COST_AMT,SumOfTOTAL_HRS,SumOfDEFECT_QTY,SumOfREWORK_HRS,SumOfREPAIR_HRS,SumOfREFAB_HRS,RESP_WORKCENTER
ER,W0046201,2018/01/13,1300,2,,,,,,,,
ER,W0046201,2018/08/11,1300,0.7,,,,,,,,
ER,W0421101,2018/01/06,1300,83.5,,,,,,,,
ER,W0421101,2018/01/13,1300,101.4,1300,770,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2018/01/20,1300,110.3,,,,,,,,
ER,W0421101,2018/01/27,1300,87.5,1300,652,$1.52,3,$0.20,$1.32,$0.00,W0421101
ER,W0421101,2018/02/03,1300,83,1300,4381,$9.38,37,$0.00,$9.38,$0.00,W0421101
ER,W0421101,2018/02/10,1300,24,1300,2012,$2.01,4,$0.00,$2.01,$0.00,W0421101
ER,W0421101,2018/02/17,1300,103.36,1300,508,$0.54,2,$0.20,$0.34,$0.00,W0421101
ER,W0421101,2018/02/24,1300,47.4,1300,1957,$1.63,4,$0.00,$1.63,$0.00,W0421101
ER,W0421101,2018/03/03,1300,130.4,1300,494,$0.44,1,$0.00,$0.44,$0.00,W0421101
ER,W0421101,2018/03/10,1300,142,1300,592,$1.11,2,$0.61,$0.50,$0.00,W0421101
ER,W0421101,2018/03/17,1300,105.9,1300,592,$1.11,2,$0.20,$0.91,$0.00,W0421101
ER,W0421101,2018/03/24,1300,90.1,1300,65,$0.44,2,$0.44,$0.00,$0.00,W0421101
ER,W0421101,2018/03/31,1300,99.7,1300,1134,$2.76,13,$1.48,$1.28,$0.00,W0421101
ER,W0421101,2018/04/07,1300,104.1,1300,653,$1.53,4,$0.86,$0.67,$0.00,W0421101
ER,W0421101,2018/04/14,1300,94.4,1300,283,$0.20,2,$0.20,$0.00,$0.00,W0421101
ER,W0421101,2018/04/21,1300,115.4,1300,13,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2018/04/28,1300,160.1,1300,239,$1.63,5,$1.63,$0.00,$0.00,W0421101
ER,W0421101,2018/05/05,1300,114.5,1300,714,$1.94,6,$1.74,$0.20,$0.00,W0421101
ER,W0421101,2018/05/12,1300,129.3,1300,4934,$7.31,15,$0.00,$7.31,$0.00,W0421101
ER,W0421101,2018/05/19,1300,117.6,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2018/05/26,1300,67.8,1300,1953,$1.61,6,$0.00,$1.61,$0.00,W0421101
ER,W0421101,2018/06/02,1300,113.3,1300,222,$1.51,5,$1.51,$0.00,$0.00,W0421101
ER,W0421101,2018/06/09,1300,116.7,1300,2100,$2.61,14,$0.20,$2.41,$0.00,W0421101
ER,W0421101,2018/06/16,1300,129.3,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2018/06/23,1300,121.3,1300,1070,$1.44,4,$0.64,$0.80,$0.00,W0421101
ER,W0421101,2018/06/30,1300,40.5,1300,1667,$2.50,4,$0.00,$2.50,$0.00,W0421101
ER,W0421101,2018/07/07,1300,95.1,,,,,,,,
ER,W0421101,2018/07/14,1300,127,,,,,,,,
ER,W0421101,2018/07/21,1300,20,1300,1759,$3.13,15,$1.94,$1.19,$0.00,W0421101
ER,W0421101,2018/07/28,1300,140.8,1300,939,$3.48,10,$2.57,$0.91,$0.00,W0421101
ER,W0421101,2018/08/04,1300,90.5,1300,494,$0.44,1,$0.00,$0.44,$0.00,W0421101
ER,W0421101,2018/08/11,1300,159.2,1300,3138,$3.89,16,$1.51,$2.38,$0.00,W0421101
ER,W0421101,2018/08/18,1300,65.3,1300,2294,$1.65,14,$0.86,$0.79,$0.00,W0421101
ER,W0421101,2018/08/25,1300,137.5,1300,108,$0.74,3,$0.40,$0.34,$0.00,W0421101
ER,W0421101,2018/09/01,1300,66.2,1300,50,$0.34,1,$0.34,$0.00,$0.00,W0421101
ER,W0421101,2018/09/08,1300,130.1,1300,240,$1.64,4,$0.64,$1.00,$0.00,W0421101
ER,W0421101,2018/09/15,1300,50.5,1300,77,$0.44,2,$0.44,$0.00,$0.00,W0421101
ER,W0421101,2018/09/22,1300,133.1,1300,1402,$3.71,11,$2.61,$1.10,$0.00,W0421101
ER,W0421101,2018/09/29,1300,121,1300,126,$0.86,3,$0.86,$0.00,$0.00,W0421101
ER,W0421101,2018/10/06,1300,164,1300,2322,$4.12,16,$0.64,$3.48,$0.00,W0421101
ER,W0421101,2018/10/13,1300,174.1,1300,1464,$1.12,4,$0.00,$1.12,$0.00,W0421101
ER,W0421101,2018/10/20,1300,120.7,1300,2149,$2.58,8,$0.91,$1.67,$0.00,W0421101
ER,W0421101,2018/10/27,1300,104.3,1300,65,$0.44,1,$0.44,$0.00,$0.00,W0421101
ER,W0421101,2018/11/03,1300,32.2,1300,1160,$1.47,4,$0.20,$1.27,$0.00,W0421101
ER,W0421101,2018/11/10,1300,181.4,1300,4062,$4.29,16,$0.44,$3.85,$0.00,W0421101
ER,W0421101,2018/11/17,1300,67.7,1300,3060,$2.93,14,$0.44,$2.49,$0.00,W0421101
ER,W0421101,2018/11/24,1300,106.8,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0421101
ER,W0421101,2018/12/01,1300,139.5,1300,3044,$6.13,12,$0.00,$6.13,$0.00,W0421101
ER,W0421101,2018/12/08,1300,161.6,1300,1201,$2.01,5,$0.81,$1.20,$0.00,W0421101
ER,W0421101,2018/12/15,1300,104.4,1300,1377,$0.45,5,$0.20,$0.25,$0.00,W0421101
ER,W0421101,2018/12/22,1300,174.6,1300,4742,$8.84,21,$7.49,$1.35,$0.00,W0421101
ER,W0421101,2018/12/29,1300,42.8,1300,180,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2019/01/05,1300,35.2,1300,540,$0.76,2,$0.20,$0.56,$0.00,W0421101
ER,W0421101,2019/01/12,1300,176.5,1300,1523,$1.61,5,$0.20,$1.41,$0.00,W0421101
ER,W0421101,2019/01/19,1300,44,1300,651,$0.71,7,$0.00,$0.71,$0.00,W0421101
ER,W0421101,2019/01/26,1300,153.7,,,,,,,,
ER,W0421101,2019/02/02,1300,152.8,1300,2034,$5.09,10,$0.44,$4.65,$0.00,W0421101
ER,W0421101,2019/02/09,1300,140.9,1300,254,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2019/02/16,1300,96.5,1300,662,$1.58,3,$0.88,$0.70,$0.00,W0421101
ER,W0421101,2019/02/23,1300,144.5,1300,2369,$4.44,5,$0.44,$4.00,$0.00,W0421101
ER,W0421101,2019/03/02,1300,131,1300,616,$1.20,6,$1.20,$0.00,$0.00,W0421101
ER,W0421101,2019/03/09,1300,161.5,1300,1968,$7.06,28,$0.00,$7.06,$0.00,W0421101
ER,W0421101,2019/03/16,1300,63.5,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2019/03/23,1300,28.1,1300,1094,$1.61,4,$0.20,$1.41,$0.00,W0421101
ER,W0421101,2019/03/30,1300,162.3,1300,479,$0.34,1,$0.00,$0.34,$0.00,W0421101
ER,W0421101,2019/04/06,1300,112.2,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0421101
ER,W0421101,2019/04/13,1300,123,1300,996,$0.78,6,$0.00,$0.78,$0.00,W0421101
ER,W0421101,2019/04/20,1300,99.8,1300,44,$0.20,2,$0.20,$0.00,$0.00,W0421101
ER,W0421101,2019/04/27,1300,138.3,1300,510,$0.55,1,$0.00,$0.55,$0.00,W0421101
ER,W0421101,2019/05/04,1300,142.3,1300,1040,$1.07,5,$0.76,$0.31,$0.00,W0421101
ER,W0421101,2019/05/11,1300,182.6,1300,1115,$1.75,3,$0.75,$1.00,$0.00,W0421101
ER,W0421101,2019/05/18,1300,101,1300,1024,$1.13,3,$0.79,$0.34,$0.00,W0421101
ER,W0421101,2019/05/25,1300,141.2,1300,42,$0.20,3,$0.20,$0.00,$0.00,W0421101
ER,W0421101,2019/06/01,1300,109,1300,480,$0.35,1,$0.00,$0.35,$0.00,W0421101
ER,W0421101,2019/06/08,1300,133,1300,1594,$2.09,7,$1.07,$1.02,$0.00,W0421101
ER,W0421101,2019/06/15,1300,139.5,1300,43,$0.00,3,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2019/06/22,1300,143.2,1300,1035,$1.20,2,$0.00,$1.20,$0.00,W0421101
ER,W0421101,2019/06/29,1300,110.9,1300,809,$0.74,13,$0.40,$0.34,$0.00,W0421101
ER,W0421101,2019/07/06,1300,19,1300,141,$0.00,9,$0.00,$0.00,$0.00,W0421101
ER,W0421101,2019/07/13,1300,179.4,1300,961,$0.70,4,$0.20,$0.50,$0.00,W0421101
ER,W0421101,2019/07/20,1300,148.4,,,,,,,,
ER,W0421101,2019/07/27,1300,71.6,1300,2670,$0.00,1,$0.00,$0.00,$0.00,W0421101
ER,W0421501,2018/01/06,1300,33.2,,,,,,,,
ER,W0421501,2018/01/13,1300,92.3,1300,555,$0.86,1,$0.00,$0.86,$0.00,W0421501
ER,W0421501,2018/01/20,1300,32.5,1300,531,$0.70,2,$0.20,$0.50,$0.00,W0421501
ER,W0421501,2018/01/27,1300,12,,,,,,,,
ER,W0421501,2018/02/03,1300,1.5,,,,,,,,
ER,W0421501,2018/02/10,1300,87.2,1300,429,$0.00,2,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/02/17,1300,63.8,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/02/24,1300,40,1300,29,$0.20,2,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2018/03/10,1300,0.5,,,,,,,,
ER,W0421501,2018/03/17,1300,3,,,,,,,,
ER,W0421501,2018/03/24,1300,15,,,,,,,,
ER,W0421501,2018/03/31,1300,63,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/04/07,1300,43,1300,923,$0.44,3,$0.00,$0.44,$0.00,W0421501
ER,W0421501,2018/04/14,1300,20.5,1300,75,$0.51,1,$0.51,$0.00,$0.00,W0421501
ER,W0421501,2018/04/21,1300,5.5,,,,,,,,
ER,W0421501,2018/04/28,1300,10,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2018/05/05,1300,29.5,,,,,,,,
ER,W0421501,2018/06/02,1300,22,1300,467,$0.26,2,$0.00,$0.26,$0.00,W0421501
ER,W0421501,2018/06/09,1300,53,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/06/16,1300,69.5,1300,65,$0.44,1,$0.44,$0.00,$0.00,W0421501
ER,W0421501,2018/06/23,1300,16,,,,,,,,
ER,W0421501,2018/06/30,1300,31,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2018/07/07,1300,1,,,,,,,,
ER,W0421501,2018/07/14,1300,52,1300,2128,$2.80,8,$0.00,$2.80,$0.00,W0421501
ER,W0421501,2018/07/21,1300,0.5,,,,,,,,
ER,W0421501,2018/07/28,1300,21.7,,,,,,,,
ER,W0421501,2018/08/04,1300,48.8,1300,1079,$1.51,5,$0.00,$1.51,$0.00,W0421501
ER,W0421501,2018/08/11,1300,29,,,,,,,,
ER,W0421501,2018/08/18,1300,4,,,,,,,,
ER,W0421501,2018/09/15,1300,16,,,,,,,,
ER,W0421501,2018/09/22,1300,63,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/09/29,1300,30,1300,567,$0.51,3,$0.20,$0.31,$0.00,W0421501
ER,W0421501,2018/10/06,1300,81.2,1300,36,$0.00,2,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/10/13,1300,34.8,1300,576,$1.00,1,$0.00,$1.00,$0.00,W0421501
ER,W0421501,2018/10/20,1300,66,1300,458,$0.20,2,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2018/10/27,1300,88.5,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/11/03,1300,47,1300,755,$1.11,3,$0.20,$0.91,$0.00,W0421501
ER,W0421501,2018/11/10,1300,2,1300,429,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/11/17,1300,11.5,,,,,,,,
ER,W0421501,2018/12/08,1300,6.5,,,,,,,,
ER,W0421501,2018/12/15,1300,73.5,,,,,,,,
ER,W0421501,2018/12/22,1300,40.7,1300,429,$0.00,4,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2018/12/29,1300,28.2,,,,,,,,
ER,W0421501,2019/01/05,1300,23.3,1300,952,$0.64,3,$0.20,$0.44,$0.00,W0421501
ER,W0421501,2019/01/12,1300,21.1,,,,,,,,
ER,W0421501,2019/01/19,1300,3.7,,,,,,,,
ER,W0421501,2019/02/02,1300,51.2,,,,,,,,
ER,W0421501,2019/02/09,1300,74.5,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2019/02/16,1300,47.4,,,,,,,,
ER,W0421501,2019/02/23,1300,19.9,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2019/03/02,1300,51.9,,,,,,,,
ER,W0421501,2019/03/09,1300,72.8,,,,,,,,
ER,W0421501,2019/03/16,1300,61.3,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2019/03/23,1300,9,1300,458,$0.20,2,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2019/04/06,1300,6.5,1300,2639,$1.69,4,$0.00,$1.69,$0.00,W0421501
ER,W0421501,2019/04/13,1300,61.3,,,,,,,,
ER,W0421501,2019/04/20,1300,77.4,1300,2274,$3.79,8,$0.00,$3.79,$0.00,W0421501
ER,W0421501,2019/04/27,1300,39.3,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2019/05/04,1300,20.2,,,,,,,,
ER,W0421501,2019/05/11,1300,27,1300,494,$0.44,1,$0.00,$0.44,$0.00,W0421501
ER,W0421501,2019/05/18,1300,54,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2019/05/25,1300,54.2,1300,527,$0.67,1,$0.00,$0.67,$0.00,W0421501
ER,W0421501,2019/06/01,1300,40.9,1300,11,$0.00,1,$0.00,$0.00,$0.00,W0421501
ER,W0421501,2019/06/08,1300,25.1,1300,29,$0.20,2,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2019/06/15,1300,41,,,,,,,,
ER,W0421501,2019/06/22,1300,53,,,,,,,,
ER,W0421501,2019/06/29,1300,61.1,,,,,,,,
ER,W0421501,2019/07/06,1300,13.2,,,,,,,,
ER,W0421501,2019/07/13,1300,40.5,1300,69,$0.20,3,$0.20,$0.00,$0.00,W0421501
ER,W0421501,2019/07/20,1300,38.5,,,,,,,,
ER,W0421501,2019/07/27,1300,54.2,1300,458,$0.20,1,$0.00,$0.20,$0.00,W0421501
ER,W0421501,2019/08/03,1300,4,,,,,,,,
ER,W0421601,2018/01/06,1300,21.3,,,,,,,,
ER,W0421601,2018/01/13,1300,0.5,,,,,,,,
ER,W0421601,2018/01/20,1300,57.7,1300,599,$1.07,5,$0.00,$1.07,$0.00,W0421601
ER,W0421601,2018/01/27,1300,86.2,,,,,,,,
ER,W0421601,2018/02/03,1300,71.6,1300,0,$0.00,12,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/02/10,1300,4,,,,,,,,
ER,W0421601,2018/03/10,1300,55.2,,,,,,,,
ER,W0421601,2018/03/17,1300,98.4,1300,20,$0.00,1,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/03/24,1300,57.6,1300,494,$0.44,13,$0.00,$0.44,$0.00,W0421601
ER,W0421601,2018/03/31,1300,5.3,,,,,,,,
ER,W0421601,2018/04/07,1300,1,1300,952,$0.64,2,$0.00,$0.64,$0.00,W0421601
ER,W0421601,2018/04/14,1300,43.5,,,,,,,,
ER,W0421601,2018/04/21,1300,72,,,,,,,,
ER,W0421601,2018/04/28,1300,52.3,1300,0,$0.00,12,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/05/05,1300,23.5,,,,,,,,
ER,W0421601,2018/05/26,1300,6.7,,,,,,,,
ER,W0421601,2018/06/02,1300,17,,,,,,,,
ER,W0421601,2018/06/09,1300,59,1300,533,$0.71,1,$0.00,$0.71,$0.00,W0421601
ER,W0421601,2018/06/16,1300,55.7,,,,,,,,
ER,W0421601,2018/06/23,1300,43.3,1300,1422,$3.84,27,$0.44,$3.40,$0.00,W0421601
ER,W0421601,2018/06/30,1300,9,1300,524,$0.00,3,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/07/07,1300,0.2,1300,475,$0.31,1,$0.00,$0.31,$0.00,W0421601
ER,W0421601,2018/07/14,1300,20.5,,,,,,,,
ER,W0421601,2018/07/21,1300,84.7,,,,,,,,
ER,W0421601,2018/07/28,1300,47,1300,973,$0.78,2,$0.00,$0.78,$0.00,W0421601
ER,W0421601,2018/08/04,1300,17.3,1300,0,$0.00,2,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/09/15,1300,46.3,,,,,,,,
ER,W0421601,2018/09/22,1300,31,1300,648,$1.49,6,$0.00,$1.49,$0.00,W0421601
ER,W0421601,2018/09/29,1300,73,1300,0,$0.00,10,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/10/06,1300,73.8,1300,458,$0.20,2,$0.00,$0.20,$0.00,W0421601
ER,W0421601,2018/10/13,1300,70.5,1300,0,$0.00,12,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/10/20,1300,25.5,,,,,,,,
ER,W0421601,2018/10/27,1300,24.7,1300,1763,$0.00,2,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/11/03,1300,2,,,,,,,,
ER,W0421601,2018/11/17,1300,8.2,,,,,,,,
ER,W0421601,2018/11/24,1300,56.5,,,,,,,,
ER,W0421601,2018/12/01,1300,65,1300,65,$0.44,1,$0.44,$0.00,$0.00,W0421601
ER,W0421601,2018/12/08,1300,60,1300,0,$0.00,2,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2018/12/15,1300,2.5,,,,,,,,
ER,W0421601,2018/12/22,1300,16.5,,,,,,,,
ER,W0421601,2018/12/29,1300,32.5,1300,604,$1.19,3,$0.00,$1.19,$0.00,W0421601
ER,W0421601,2019/01/05,1300,19.2,1300,0,$0.00,12,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2019/01/12,1300,24.8,,,,,,,,
ER,W0421601,2019/01/19,1300,31,,,,,,,,
ER,W0421601,2019/01/26,1300,65.3,,,,,,,,
ER,W0421601,2019/02/02,1300,42.7,,,,,,,,
ER,W0421601,2019/02/09,1300,26.5,,,,,,,,
ER,W0421601,2019/02/16,1300,54.3,,,,,,,,
ER,W0421601,2019/02/23,1300,88.9,,,,,,,,
ER,W0421601,2019/03/02,1300,24.8,,,,,,,,
ER,W0421601,2019/03/09,1300,9,1300,1564,$1.56,4,$0.00,$1.56,$0.00,W0421601
ER,W0421601,2019/03/16,1300,9,1300,1096,$1.62,2,$0.00,$1.62,$0.00,W0421601
ER,W0421601,2019/03/23,1300,63.3,1300,494,$0.44,1,$0.00,$0.44,$0.00,W0421601
ER,W0421601,2019/03/30,1300,72.7,1300,466,$0.25,1,$0.00,$0.25,$0.00,W0421601
ER,W0421601,2019/04/06,1300,57,1300,0,$0.56,1,$0.00,$0.56,$0.00,W0421601
ER,W0421601,2019/04/13,1300,39.6,1300,1068,$1.34,3,$0.00,$1.34,$0.00,W0421601
ER,W0421601,2019/04/20,1300,64.9,,,,,,,,
ER,W0421601,2019/04/27,1300,44,1300,1999,$3.12,12,$0.00,$3.12,$0.00,W0421601
ER,W0421601,2019/05/04,1300,65.7,1300,479,$0.34,1,$0.00,$0.34,$0.00,W0421601
ER,W0421601,2019/05/11,1300,62.3,,,,,,,,
ER,W0421601,2019/05/18,1300,76,,,,,,,,
ER,W0421601,2019/05/25,1300,29.7,1300,479,$0.34,1,$0.00,$0.34,$0.00,W0421601
ER,W0421601,2019/06/01,1300,42.5,,,,,,,,
ER,W0421601,2019/06/08,1300,24.3,1300,277,$0.00,1,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2019/06/15,1300,35,1300,604,$1.19,3,$0.00,$1.19,$0.00,W0421601
ER,W0421601,2019/06/22,1300,43,1300,1272,$2.82,9,$0.00,$2.82,$0.00,W0421601
ER,W0421601,2019/06/29,1300,46,1300,3197,$8.19,18,$0.44,$7.75,$0.00,W0421601
ER,W0421601,2019/07/06,1300,48.2,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421601
ER,W0421601,2019/07/13,1300,41.1,1300,598,$1.00,4,$0.00,$1.00,$0.00,W0421601
ER,W0421601,2019/07/20,1300,34.5,1300,502,$0.50,1,$0.00,$0.50,$0.00,W0421601
ER,W0421601,2019/07/27,1300,45.2,,,,,,,,
ER,W0421901,2018/01/06,1300,19.9,,,,,,,,
ER,W0421901,2018/01/13,1300,41.96,1300,41,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/01/20,1300,141.5,1300,0,$0.00,7,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/01/27,1300,64.2,1300,1118,$1.61,6,$0.00,$1.61,$0.00,W0421901
ER,W0421901,2018/02/03,1300,71.1,,,,,,,,
ER,W0421901,2018/02/10,1300,41.6,1300,498,$0.47,1,$0.00,$0.47,$0.00,W0421901
ER,W0421901,2018/02/17,1300,72.8,,,,,,,,
ER,W0421901,2018/02/24,1300,45.1,1300,229,$1.56,3,$1.56,$0.00,$0.00,W0421901
ER,W0421901,2018/03/03,1300,76.2,,,,,,,,
ER,W0421901,2018/03/10,1300,53.7,,,,,,,,
ER,W0421901,2018/03/17,1300,20.2,,,,,,,,
ER,W0421901,2018/03/24,1300,49.5,1300,23,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/03/31,1300,81.3,,,,,,,,
ER,W0421901,2018/04/07,1300,104.5,1300,53,$0.00,2,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/04/14,1300,134.3,1300,403,$0.00,2,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/04/21,1300,114,,,,,,,,
ER,W0421901,2018/04/28,1300,91.2,,,,,,,,
ER,W0421901,2018/05/05,1300,114,,,,,,,,
ER,W0421901,2018/05/12,1300,83.8,1300,26,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/05/19,1300,51,,,,,,,,
ER,W0421901,2018/05/26,1300,91,,,,,,,,
ER,W0421901,2018/06/02,1300,102.9,,,,,,,,
ER,W0421901,2018/06/09,1300,64.6,1300,466,$0.25,1,$0.00,$0.25,$0.00,W0421901
ER,W0421901,2018/06/16,1300,76.7,,,,,,,,
ER,W0421901,2018/06/23,1300,72.9,,,,,,,,
ER,W0421901,2018/06/30,1300,84.2,,,,,,,,
ER,W0421901,2018/07/07,1300,18.6,,,,,,,,
ER,W0421901,2018/07/14,1300,21.8,,,,,,,,
ER,W0421901,2018/07/21,1300,83.3,1300,45,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/07/28,1300,98.8,1300,1024,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/08/04,1300,80.5,,,,,,,,
ER,W0421901,2018/08/11,1300,44.7,,,,,,,,
ER,W0421901,2018/08/18,1300,61.5,,,,,,,,
ER,W0421901,2018/08/25,1300,37.5,,,,,,,,
ER,W0421901,2018/09/01,1300,85.9,,,,,,,,
ER,W0421901,2018/09/08,1300,79.7,1300,150,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/09/15,1300,109.1,,,,,,,,
ER,W0421901,2018/09/22,1300,105.3,,,,,,,,
ER,W0421901,2018/09/29,1300,87.5,,,,,,,,
ER,W0421901,2018/10/06,1300,87.1,,,,,,,,
ER,W0421901,2018/10/13,1300,113.4,,,,,,,,
ER,W0421901,2018/10/20,1300,90.6,,,,,,,,
ER,W0421901,2018/10/27,1300,79.1,,,,,,,,
ER,W0421901,2018/11/03,1300,113.1,,,,,,,,
ER,W0421901,2018/11/10,1300,75.9,,,,,,,,
ER,W0421901,2018/11/17,1300,39.5,,,,,,,,
ER,W0421901,2018/11/24,1300,60.2,,,,,,,,
ER,W0421901,2018/12/01,1300,109.3,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/12/08,1300,95.8,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2018/12/15,1300,5,,,,,,,,
ER,W0421901,2018/12/22,1300,142.7,,,,,,,,
ER,W0421901,2018/12/29,1300,65.3,,,,,,,,
ER,W0421901,2019/01/05,1300,57,,,,,,,,
ER,W0421901,2019/01/12,1300,88.7,,,,,,,,
ER,W0421901,2019/01/19,1300,8.5,1300,4886,$0.00,2,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2019/01/26,1300,116,,,,,,,,
ER,W0421901,2019/02/02,1300,68.8,,,,,,,,
ER,W0421901,2019/02/09,1300,87.9,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0421901
ER,W0421901,2019/02/16,1300,131.2,,,,,,,,
ER,W0421901,2019/02/23,1300,79.5,,,,,,,,
ER,W0421901,2019/03/02,1300,75.5,,,,,,,,
ER,W0421901,2019/03/09,1300,8,,,,,,,,
ER,W0421901,2019/03/16,1300,68.4,,,,,,,,
ER,W0421901,2019/03/23,1300,65.2,,,,,,,,
ER,W0421901,2019/03/30,1300,150.9,,,,,,,,
ER,W0421901,2019/04/06,1300,89.6,,,,,,,,
ER,W0421901,2019/04/13,1300,85,,,,,,,,
ER,W0421901,2019/04/20,1300,90.4,,,,,,,,
ER,W0421901,2019/04/27,1300,111.7,,,,,,,,
ER,W0421901,2019/05/04,1300,97.3,,,,,,,,
ER,W0421901,2019/05/11,1300,71.8,,,,,,,,
ER,W0421901,2019/05/18,1300,152,,,,,,,,
ER,W0421901,2019/05/25,1300,82,,,,,,,,
ER,W0421901,2019/06/01,1300,71.7,,,,,,,,
ER,W0421901,2019/06/08,1300,74.1,,,,,,,,
ER,W0421901,2019/06/15,1300,50.9,,,,,,,,
ER,W0421901,2019/06/22,1300,90.2,,,,,,,,
ER,W0421901,2019/06/29,1300,145.1,,,,,,,,
ER,W0421901,2019/07/06,1300,88.2,1300,0,$0.00,1,$0.00,$0.00,$0.00,W0421901
ER,W0421901,2019/07/13,1300,113.3,,,,,,,,
ER,W0421901,2019/07/20,1300,93.7,1300,560,$0.89,5,$0.00,$0.89,$0.00,W0421901
ER,W0421901,2019/07/27,1300,65,,,,,,,,
ER,W0422101,2018/01/06,1300,4,1300,6214,$0.88,2,$0.00,$0.88,$0.00,W0422101
ER,W0422101,2018/01/27,1300,15,,,,,,,,
ER,W0422101,2018/02/03,1300,39,1300,79,$0.54,2,$0.54,$0.00,$0.00,W0422101
ER,W0422101,2018/02/10,1300,3,1300,517,$0.60,3,$0.20,$0.40,$0.00,W0422101
ER,W0422101,2018/02/24,1300,10,,,,,,,,
ER,W0422101,2018/03/03,1300,26,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0422101
ER,W0422101,2018/03/10,1300,29,1300,13,$0.00,1,$0.00,$0.00,$0.00,W0422101
ER,W0422101,2018/03/31,1300,19.5,,,,,,,,
ER,W0422101,2018/04/07,1300,43.5,,,,,,,,
ER,W0422101,2018/04/14,1300,2,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0422101
ER,W0422101,2018/05/05,1300,25,,,,,,,,
ER,W0422101,2018/05/12,1300,26,1300,29,$0.20,1,$0.20,$0.00,$0.00,W0422101
ER,W0422101,2018/05/26,1300,14,,,,,,,,
